id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Enrichment
ABHD14A	ENSG00000248487	ABHD14A	25864	ABHD14A	0.2465905
ABHD14B	ENSG00000114779	ABHD14B	84836	ABHD14B	-0.444555
ABHD15	ENSG00000168792	ABHD15	116236	ABHD15	0.09275
ABHD16A	ENSG00000204427	ABHD16A	7920	ABHD16A	-0.23982
ABHD16B	ENSG00000183260	ABHD16B	140701	ABHD16B	1.1211695
ABHD17A	ENSG00000129968	ABHD17A	81926	ABHD17A	-0.5798
ABHD17B	ENSG00000107362	ABHD17B	51104	ABHD17B	-0.74997
ABHD17C	ENSG00000136379	ABHD17C	58489	ABHD17C	1.37516
ABHD2	ENSG00000140526	ABHD2	11057	ABHD2	-0.267745
ABHD3	ENSG00000158201	ABHD3	171586	ABHD3	-1.32729
ABHD4	ENSG00000100439	ABHD4	63874	ABHD4	-0.04732
ABHD5	ENSG00000011198	ABHD5	51099	ABHD5	0.92484
ABHD6	ENSG00000163686	ABHD6	57406	ABHD6	-0.129706
ABHD8	ENSG00000127220	ABHD8	79575	ABHD8	0.65348
ABI1	ENSG00000136754	ABI1	10006	ABI1	1.328095
ABI2	ENSG00000138443	ABI2	10152	ABI2	-0.253905
ABI3	ENSG00000108798	ABI3	51225	ABI3	-0.1273135
ABI3BP	ENSG00000154175	ABI3BP	25890	ABI3BP	-0.1035225
ABL1	ENSG00000097007	ABL1	25	ABL1	-0.546195
ABL2	ENSG00000143322	ABL2	27	ABL2	-0.84672
ABLIM1	ENSG00000099204	ABLIM1	3983	ABLIM1	-0.16281
ABLIM2	ENSG00000163995	ABLIM2	84448	ABLIM2	0.284065
ABLIM3	ENSG00000173210	ABLIM3	22885	ABLIM3	-0.009495
ABO	ENSG00000175164	ABO	28	ABO	0.6485005
ABR	ENSG00000159842	ABR	29	ABR	-1.039815
ABRA	ENSG00000174429	ABRA	137735	ABRA	-0.60969
ABRACL	ENSG00000146386	ABRACL	58527	ABRACL	-0.98453
ABT1	ENSG00000146109	ABT1	29777	ABT1	0.354755
ABTB1	ENSG00000114626	ABTB1	80325	ABTB1	-0.1090225
ABTB2	ENSG00000166016	ABTB2	25841	ABTB2	0.16072
ACAA1	ENSG00000060971	ACAA1	30	ACAA1	-0.624345
ACAA2	ENSG00000167315	ACAA2	10449	ACAA2	0.68163
ACACA	ENSG00000278540	ACACA	31	ACACA	0.557235
ACACB	ENSG00000076555	ACACB	32	ACACB	-0.68888
ACAD10	ENSG00000111271	ACAD10	80724	ACAD10	-0.7222
ACAD11	ENSG00000240303	ACAD11	84129	ACAD11	-0.424055
ACAD8	ENSG00000151498	ACAD8	27034	ACAD8	-1.065515
ACAD9	ENSG00000177646	ACAD9	28976	ACAD9	0.016645
ACADL	ENSG00000115361	ACADL	33	ACADL	-1.85175
ACADM	ENSG00000117054	ACADM	34	ACADM	0.072495
ACADS	ENSG00000122971	ACADS	35	ACADS	-0.443705
ACADSB	ENSG00000196177	ACADSB	36	ACADSB	-0.1087635
ACADVL	ENSG00000072778	ACADVL	37	ACADVL	-1.013895
ACAN	ENSG00000157766	ACAN	176	ACAN	-0.23323
ACAP1	ENSG00000072818	ACAP1	9744	ACAP1	-0.85808
ACAP2	ENSG00000114331	ACAP2	23527	ACAP2	-0.051955
ACAP3	ENSG00000131584	ACAP3	116983	ACAP3	-0.62253
ACAT1	ENSG00000075239	ACAT1	38	ACAT1	-0.00532
ACAT2	ENSG00000120437	ACAT2	39	ACAT2	1.21325
ACBD3	ENSG00000182827	ACBD3	64746	ACBD3	0.6506785
ACBD4	ENSG00000181513	ACBD4	79777	ACBD4	0.0620515
ACBD5	ENSG00000107897	ACBD5	91452	ACBD5	0.379455
ACBD6	ENSG00000230124	ACBD6	84320	ACBD6	0.32329
ACBD7	ENSG00000176244	ACBD7	414149	ACBD7	0.535395
ACCS	ENSG00000110455	ACCS	84680	ACCS	-0.484985
ACCSL	ENSG00000205126	ACCSL	390110	ACCSL	-0.8864
ACD	ENSG00000102977	ACD	65057	ACD	0.00154999999999994
ACE	ENSG00000159640	ACE	1636	ACE	0.61097
ACE2	ENSG00000130234	ACE2	59272	ACE2	0.067765
ACER1	ENSG00000167769	ACER1	125981	ACER1	0.797625
ACER2	ENSG00000177076	ACER2	340485	ACER2	0.88847
ACER3	ENSG00000078124	ACER3	55331	ACER3	0.070715
ACHE	ENSG00000087085	ACHE	43	ACHE	-0.903855
ACIN1	ENSG00000100813	ACIN1	22985	ACIN1	-0.092785
ACKR1	ENSG00000213088	ACKR1	2532	ACKR1	1.072775
ACKR2	ENSG00000144648	ACKR2	1238	ACKR2	0.422375
ACKR3	ENSG00000144476	ACKR3	57007	ACKR3	-0.197018
ACKR4	ENSG00000129048	ACKR4	51554	ACKR4	-0.043797
ACLY	ENSG00000131473	ACLY	47	ACLY	-0.60365
ACMSD	ENSG00000153086	ACMSD	130013	ACMSD	0.433285
ACO1	ENSG00000122729	ACO1	48	ACO1	-0.79132
ACO2	ENSG00000100412	ACO2	50	ACO2	0.15494
ACOT1	ENSG00000184227	ACOT1	641371	ACOT1	1.17825
ACOT11	ENSG00000162390	ACOT11	26027	ACOT11	-0.61836
ACOT12	ENSG00000172497	ACOT12	134526	ACOT12	0.351864
ACOT13	ENSG00000112304	ACOT13	55856	ACOT13	-0.88815
ACOT2	ENSG00000119673	ACOT2	10965	ACOT2	-1.041615
ACOT4	ENSG00000177465	ACOT4	122970	ACOT4	-0.410325
ACOT6	ENSG00000205669	ACOT6	641372	ACOT6	0.63863
ACOT7	ENSG00000097021	ACOT7	11332	ACOT7	1.4461355
ACOT8	ENSG00000101473	ACOT8	10005	ACOT8	-0.08845
ACOT9	ENSG00000123130	ACOT9	23597	ACOT9	-0.34643
ACOX1	ENSG00000161533	ACOX1	51	ACOX1	0.076035
ACOX2	ENSG00000168306	ACOX2	8309	ACOX2	-0.430603
ACOX3	ENSG00000087008	ACOX3	8310	ACOX3	0.07207
ACOXL	ENSG00000153093	ACOXL	55289	ACOXL	-0.2900325
ACP1	ENSG00000143727	ACP1	52	ACP1	-0.60982
ACP2	ENSG00000134575	ACP2	53	ACP2	0.22628
ACP5	ENSG00000102575	ACP5	54	ACP5	-0.2308515
ACP6	ENSG00000162836	ACP6	51205	ACP6	0.27145
ACPP	ENSG00000014257	ACP3	55	ACP3	-0.11924
ACPT	ENSG00000142513	ACP4	93650	ACP4	-1.02898
ACR	ENSG00000100312	ACR	49	ACR	-0.254275
ACRBP	ENSG00000111644	ACRBP	84519	ACRBP	0.291985
ACRC	ENSG00000147174	GCNA	93953	GCNA	-0.70032
ACRV1	ENSG00000134940	ACRV1	56	ACRV1	0.3673165
ACSBG1	ENSG00000103740	ACSBG1	23205	ACSBG1	0.03981
ACSBG2	ENSG00000130377	ACSBG2	81616	ACSBG2	0.1490314
ACSF2	ENSG00000167107	ACSF2	80221	ACSF2	-0.17131
ACSF3	ENSG00000176715	ACSF3	197322	ACSF3	-0.309815
ACSL1	ENSG00000151726	ACSL1	2180	ACSL1	1.4311
ACSL3	ENSG00000123983	ACSL3	2181	ACSL3	-0.04595
ACSL4	ENSG00000068366	ACSL4	2182	ACSL4	0.54984
ACSL5	ENSG00000197142	ACSL5	51703	ACSL5	0.0992
ACSL6	ENSG00000164398	ACSL6	23305	ACSL6	-0.46213
ACSM1	ENSG00000166743	ACSM1	116285	ACSM1	-0.0736725
ACSM2A	ENSG00000183747	ACSM2A	123876	ACSM2A	0.79095
ACSM2B	ENSG00000066813	ACSM2B	348158	ACSM2B	-0.03449
ACSM3	ENSG00000005187	ACSM3	6296	ACSM3	-0.103265
ACSM4	ENSG00000215009	ACSM4	341392	ACSM4	-0.009405
ACSM5	ENSG00000183549	ACSM5	54988	ACSM5	1.0957275
ACSM6	ENSG00000173124	ACSM6	142827	ACSM6	-1.0155
ACSS1	ENSG00000154930	ACSS1	84532	ACSS1	-0.36666
ACSS2	ENSG00000131069	ACSS2	55902	ACSS2	-0.202835
ACSS3	ENSG00000111058	ACSS3	79611	ACSS3	-1.5736
ACTA1	ENSG00000143632	ACTA1	58	ACTA1	0.379275
ACTA2	ENSG00000107796	ACTA2	59	ACTA2	-0.618225
ACTB	ENSG00000075624	ACTB	60	ACTB	0.13085
ACTBL2	ENSG00000169067	ACTBL2	345651	ACTBL2	-0.84591
ACTC1	ENSG00000159251	ACTC1	70	ACTC1	0.3352255
ACTG1	ENSG00000184009	ACTG1	71	ACTG1	1.19115
ACTG2	ENSG00000163017	ACTG2	72	ACTG2	-0.097915
ACTL10	ENSG00000288649	ACTL10	170487	ACTL10	-0.228123
ACTL6A	ENSG00000136518	ACTL6A	86	ACTL6A	-0.53344
ACTL6B	ENSG00000077080	ACTL6B	51412	ACTL6B	-0.36603
ACTL7A	ENSG00000187003	ACTL7A	10881	ACTL7A	-0.257055
ACTL7B	ENSG00000148156	ACTL7B	10880	ACTL7B	-0.801725
ACTL8	ENSG00000117148	ACTL8	81569	ACTL8	-0.48562
ACTL9	ENSG00000181786	ACTL9	284382	ACTL9	0.29598
ACTN1	ENSG00000072110	ACTN1	87	ACTN1	-0.19147
ACTN2	ENSG00000077522	ACTN2	88	ACTN2	-0.01486
ACTN3	ENSG00000248746	ACTN3	89	ACTN3	-0.236375
ACTN4	ENSG00000130402	ACTN4	81	ACTN4	0.419372
ACTR10	ENSG00000131966	ACTR10	55860	ACTR10	0.54065
ACTR1A	ENSG00000138107	ACTR1A	10121	ACTR1A	-0.32033
ACTR1B	ENSG00000115073	ACTR1B	10120	ACTR1B	0.76865
ACTR2	ENSG00000138071	ACTR2	10097	ACTR2	0.345507
ACTR3	ENSG00000115091	ACTR3	10096	ACTR3	-0.280722
ACTR3B	ENSG00000133627	ACTR3B	57180	ACTR3B	-0.780645
ACTR3C	ENSG00000106526	ACTR3C	653857	ACTR3C	0.38312
ACTR5	ENSG00000101442	ACTR5	79913	ACTR5	-0.2861185
ACTR6	ENSG00000075089	ACTR6	64431	ACTR6	-0.30824
ACTR8	ENSG00000113812	ACTR8	93973	ACTR8	0.196415
ACTRT1	ENSG00000123165	ACTRT1	139741	ACTRT1	0.580395
ACTRT2	ENSG00000169717	ACTRT2	140625	ACTRT2	0.1670005
ACTRT3	ENSG00000184378	ACTRT3	84517	ACTRT3	0.6003775
ACVR1	ENSG00000115170	ACVR1	90	ACVR1	0.89311
ACVR1B	ENSG00000135503	ACVR1B	91	ACVR1B	-0.1027
ACVR1C	ENSG00000123612	ACVR1C	130399	ACVR1C	-0.0211855
ACVR2A	ENSG00000121989	ACVR2A	92	ACVR2A	-0.307505
ACVR2B	ENSG00000114739	ACVR2B	93	ACVR2B	-0.0649035
ACVRL1	ENSG00000139567	ACVRL1	94	ACVRL1	0.414045
ACY1	ENSG00000243989	ACY1	95	ACY1	-0.82425
ACY3	ENSG00000132744	ACY3	91703	ACY3	-0.315715
ACYP1	ENSG00000119640	ACYP1	97	ACYP1	0.874295
ACYP2	ENSG00000170634	ACYP2	98	ACYP2	-0.32249
ADA	ENSG00000196839	ADA	100	ADA	0.38361
ADAD1	ENSG00000164113	ADAD1	132612	ADAD1	-0.1461305
ADAD2	ENSG00000140955	ADAD2	161931	ADAD2	1.54175
ADAL	ENSG00000168803	ADAL	161823	ADAL	1.5968
ADAM10	ENSG00000137845	ADAM10	102	ADAM10	-0.4549175
ADAM11	ENSG00000073670	ADAM11	4185	ADAM11	-0.016225
ADAM12	ENSG00000148848	ADAM12	8038	ADAM12	0.226585
ADAM15	ENSG00000143537	ADAM15	8751	ADAM15	-0.37017
ADAM17	ENSG00000151694	ADAM17	6868	ADAM17	0.23553
ADAM18	ENSG00000168619	ADAM18	8749	ADAM18	-2.602
ADAM19	ENSG00000135074	ADAM19	8728	ADAM19	-1.740275
ADAM2	ENSG00000104755	ADAM2	2515	ADAM2	-1.233435
ADAM20	ENSG00000134007	ADAM20	8748	ADAM20	-0.073895
ADAM21	ENSG00000139985	ADAM21	8747	ADAM21	-0.2137475
ADAM22	ENSG00000008277	ADAM22	53616	ADAM22	0.397258
ADAM23	ENSG00000114948	ADAM23	8745	ADAM23	0.35182
ADAM28	ENSG00000042980	ADAM28	10863	ADAM28	0.65658
ADAM29	ENSG00000168594	ADAM29	11086	ADAM29	-0.02545
ADAM30	ENSG00000134249	ADAM30	11085	ADAM30	1.0444
ADAM32	ENSG00000197140	ADAM32	203102	ADAM32	-1.2835
ADAM33	ENSG00000149451	ADAM33	80332	ADAM33	-0.680585
ADAM7	ENSG00000069206	ADAM7	8756	ADAM7	0.487475
ADAM8	ENSG00000151651	ADAM8	101	ADAM8	-0.40349
ADAM9	ENSG00000168615	ADAM9	8754	ADAM9	-1.56777
ADAMDEC1	ENSG00000134028	ADAMDEC1	27299	ADAMDEC1	-0.327375
ADAMTS1	ENSG00000154734	ADAMTS1	9510	ADAMTS1	-0.1698545
ADAMTS10	ENSG00000142303	ADAMTS10	81794	ADAMTS10	0.307635
ADAMTS12	ENSG00000151388	ADAMTS12	81792	ADAMTS12	-0.4088645
ADAMTS13	ENSG00000160323	ADAMTS13	11093	ADAMTS13	0.130575
ADAMTS14	ENSG00000138316	ADAMTS14	140766	ADAMTS14	0.536405
ADAMTS15	ENSG00000166106	ADAMTS15	170689	ADAMTS15	0.18462
ADAMTS16	ENSG00000145536	ADAMTS16	170690	ADAMTS16	0.06649
ADAMTS17	ENSG00000140470	ADAMTS17	170691	ADAMTS17	0.454575
ADAMTS18	ENSG00000140873	ADAMTS18	170692	ADAMTS18	-0.23803
ADAMTS19	ENSG00000145808	ADAMTS19	171019	ADAMTS19	0.1142075
ADAMTS2	ENSG00000087116	ADAMTS2	9509	ADAMTS2	0.612765
ADAMTS20	ENSG00000173157	ADAMTS20	80070	ADAMTS20	-0.23547
ADAMTS3	ENSG00000156140	ADAMTS3	9508	ADAMTS3	0.68317
ADAMTS4	ENSG00000158859	ADAMTS4	9507	ADAMTS4	-0.0853075
ADAMTS5	ENSG00000154736	ADAMTS5	11096	ADAMTS5	-0.4552605
ADAMTS6	ENSG00000049192	ADAMTS6	11174	ADAMTS6	0.15503
ADAMTS7	ENSG00000136378	ADAMTS7	11173	ADAMTS7	-0.360975
ADAMTS8	ENSG00000134917	ADAMTS8	11095	ADAMTS8	0.370566
ADAMTS9	ENSG00000163638	ADAMTS9	56999	ADAMTS9	-1.184475
ADAMTSL1	ENSG00000178031	ADAMTSL1	92949	ADAMTSL1	1.59735
ADAMTSL2	ENSG00000197859	ADAMTSL2	9719	ADAMTSL2	0.024997
ADAMTSL3	ENSG00000156218	ADAMTSL3	57188	ADAMTSL3	1.082915
ADAMTSL4	ENSG00000143382	ADAMTSL4	54507	ADAMTSL4	0.162575
ADAMTSL5	ENSG00000185761	ADAMTSL5	339366	ADAMTSL5	0.44967
ADAP1	ENSG00000105963	ADAP1	11033	ADAP1	-0.884
ADAP2	ENSG00000184060	ADAP2	55803	ADAP2	0.971975
ADAR	ENSG00000160710	ADAR	103	ADAR	-0.5041555
ADARB1	ENSG00000197381	ADARB1	104	ADARB1	0.60924
ADARB2	ENSG00000185736	ADARB2	105	ADARB2	-0.53118
ADAT1	ENSG00000065457	ADAT1	23536	ADAT1	1.192473
ADAT2	ENSG00000189007	ADAT2	134637	ADAT2	0.06102
ADAT3	ENSG00000213638	ADAT3	113179	ADAT3	-0.611425
ADCK1	ENSG00000063761	ADCK1	57143	ADCK1	0.510835
ADCK2	ENSG00000133597	ADCK2	90956	ADCK2	-0.3541285
ADCK3	ENSG00000163050	COQ8A	56997	COQ8A	0.0997245
ADCK4	ENSG00000123815	COQ8B	79934	COQ8B	0.32714
ADCK5	ENSG00000173137	ADCK5	203054	ADCK5	0.1846215
ADCY1	ENSG00000164742	ADCY1	107	ADCY1	-0.97483
ADCY10	ENSG00000143199	ADCY10	55811	ADCY10	-0.73328
ADCY2	ENSG00000078295	ADCY2	108	ADCY2	0.07704
ADCY3	ENSG00000138031	ADCY3	109	ADCY3	0.849725
ADCY4	ENSG00000129467	ADCY4	196883	ADCY4	1.341705
ADCY5	ENSG00000173175	ADCY5	111	ADCY5	1.524935
ADCY6	ENSG00000174233	ADCY6	112	ADCY6	0.362355
ADCY7	ENSG00000121281	ADCY7	113	ADCY7	-0.56751
ADCY8	ENSG00000155897	ADCY8	114	ADCY8	-0.04729
ADCY9	ENSG00000162104	ADCY9	115	ADCY9	-0.719255
ADCYAP1	ENSG00000141433	ADCYAP1	116	ADCYAP1	-0.12775
ADCYAP1R1	ENSG00000078549	ADCYAP1R1	117	ADCYAP1R1	0.264555
ADD1	ENSG00000087274	ADD1	118	ADD1	0.052715
ADD2	ENSG00000075340	ADD2	119	ADD2	0.290091
ADD3	ENSG00000148700	ADD3	120	ADD3	0.868405
ADGB	ENSG00000118492	ADGB	79747	ADGB	0.589735
ADGRA1	ENSG00000197177	ADGRA1	84435	ADGRA1	-0.27621
ADGRA2	ENSG00000020181	ADGRA2	25960	ADGRA2	-0.2762
ADGRA3	ENSG00000152990	ADGRA3	166647	ADGRA3	-0.4354705
ADGRB1	ENSG00000181790	ADGRB1	575	ADGRB1	-0.00944500000000004
ADGRB2	ENSG00000121753	ADGRB2	576	ADGRB2	-0.012825
ADGRB3	ENSG00000135298	ADGRB3	577	ADGRB3	-0.19719
ADGRD1	ENSG00000111452	ADGRD1	283383	ADGRD1	0.683775
ADGRE1	ENSG00000174837	ADGRE1	2015	ADGRE1	-0.173565
ADGRE2	ENSG00000127507	ADGRE2	30817	ADGRE2	-0.7474255
ADGRE3	ENSG00000131355	ADGRE3	84658	ADGRE3	-0.16729
ADGRE5	ENSG00000123146	ADGRE5	976	ADGRE5	0.00105
ADGRF1	ENSG00000153292	ADGRF1	266977	ADGRF1	-0.18679
ADGRF2	NA	ADGRF2	NA	ADGRF2	-0.110495
ADGRF3	ENSG00000173567	ADGRF3	165082	ADGRF3	0.00255
ADGRF4	ENSG00000153294	ADGRF4	221393	ADGRF4	0.22642
ADGRF5	ENSG00000069122	ADGRF5	221395	ADGRF5	-0.867845
ADGRG1	ENSG00000205336	ADGRG1	9289	ADGRG1	-0.181615
ADGRG2	ENSG00000173698	ADGRG2	10149	ADGRG2	-0.485505
ADGRG3	ENSG00000182885	ADGRG3	222487	ADGRG3	-0.43772
ADGRG4	ENSG00000156920	ADGRG4	139378	ADGRG4	-0.4186525
ADGRG5	ENSG00000159618	ADGRG5	221188	ADGRG5	-0.70993
ADGRG6	ENSG00000112414	ADGRG6	57211	ADGRG6	-0.037225
ADGRG7	ENSG00000144820	ADGRG7	84873	ADGRG7	-0.2371355
ADGRL1	ENSG00000072071	ADGRL1	22859	ADGRL1	-0.533955
ADGRL2	ENSG00000117114	ADGRL2	23266	ADGRL2	1.10756
ADGRL3	ENSG00000150471	ADGRL3	23284	ADGRL3	0.14289
ADGRL4	ENSG00000162618	ADGRL4	64123	ADGRL4	-0.16337
ADGRV1	ENSG00000164199	ADGRV1	84059	ADGRV1	-0.01942
ADH1A	ENSG00000187758	ADH1A	124	ADH1A	-0.5291095
ADH1B	ENSG00000196616	ADH1B	125	ADH1B	0.233545
ADH1C	ENSG00000248144	ADH1C	126	ADH1C	-0.2914205
ADH4	ENSG00000198099	ADH4	127	ADH4	-0.20828
ADH5	ENSG00000197894	ADH5	128	ADH5	-0.17242
ADH6	ENSG00000172955	ADH6	130	ADH6	0.68049
ADH7	ENSG00000196344	ADH7	131	ADH7	0.0931515
ADHFE1	ENSG00000147576	ADHFE1	137872	ADHFE1	0.07613
ADI1	ENSG00000182551	ADI1	55256	ADI1	1.49787
ADIG	ENSG00000182035	ADIG	149685	ADIG	-0.105729
ADIPOQ	ENSG00000181092	ADIPOQ	9370	ADIPOQ	1.19998
ADIPOR1	ENSG00000159346	ADIPOR1	51094	ADIPOR1	-0.029185
ADIPOR2	ENSG00000006831	ADIPOR2	79602	ADIPOR2	0.483525
ADIRF	ENSG00000148671	ADIRF	10974	ADIRF	0.4348925
ADK	ENSG00000156110	ADK	132	ADK	0.41834
ADM	ENSG00000148926	ADM	133	ADM	0.12867
ADM2	ENSG00000128165	ADM2	79924	ADM2	0.4428985
ADM5	ENSG00000224420	ADM5	199800	ADM5	0.464785
ADNP	ENSG00000101126	ADNP	23394	ADNP	-0.401035
ADNP2	ENSG00000101544	ADNP2	22850	ADNP2	-0.2842635
ADO	ENSG00000181915	ADO	84890	ADO	-0.057925
ADORA1	ENSG00000163485	ADORA1	134	ADORA1	-0.87782
ADORA2A	ENSG00000128271	ADORA2A	135	ADORA2A	1.86251
ADORA2B	ENSG00000170425	ADORA2B	136	ADORA2B	-0.275265
ADORA3	ENSG00000282608	ADORA3	140	ADORA3	-0.574925
ADPGK	ENSG00000159322	ADPGK	83440	ADPGK	-0.28355
ADPRH	ENSG00000144843	ADPRH	141	ADPRH	1.7967
ADPRHL1	ENSG00000153531	ADPRHL1	113622	ADPRHL1	0.3699
ADPRHL2	ENSG00000116863	ADPRS	54936	ADPRS	1.50134
ADPRM	ENSG00000170222	ADPRM	56985	ADPRM	0.35083
ADRA1A	ENSG00000120907	ADRA1A	148	ADRA1A	0.09857
ADRA1B	ENSG00000170214	ADRA1B	147	ADRA1B	0.802485
ADRA1D	ENSG00000171873	ADRA1D	146	ADRA1D	1.1358825
ADRA2A	ENSG00000150594	ADRA2A	150	ADRA2A	0.761395
ADRA2B	ENSG00000274286	ADRA2B	151	ADRA2B	-0.249395
ADRA2C	ENSG00000184160	ADRA2C	152	ADRA2C	-1.14405
ADRB1	ENSG00000043591	ADRB1	153	ADRB1	-0.079035
ADRB2	ENSG00000169252	ADRB2	154	ADRB2	-1.05594
ADRB3	ENSG00000188778	ADRB3	155	ADRB3	0.79239
ADRBK1	ENSG00000173020	GRK2	156	GRK2	0.35019
ADRBK2	ENSG00000100077	GRK3	157	GRK3	-0.39262
ADRM1	ENSG00000130706	ADRM1	11047	ADRM1	-0.107515
ADSL	ENSG00000239900	ADSL	158	ADSL	0.021695
ADSS	ENSG00000035687	ADSS2	159	ADSS2	0.200705
ADSSL1	ENSG00000185100	ADSS1	122622	ADSS1	0.68233
